Country,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Netherlands,37,1,32,3,37
Chile,61,2,2,9,61
Panama,67,2,20,5,67
Mexico,46,1,17,2,46
United States of America,79,2,13,27,79
United States of America,53,1,24,9,53
Ghana,81,1,18,0,81
Japan,39,1,38,2,39
Germany,34,1,34,2,27
Republic of North Macedonia,42,1,41,0,42
Japan,41,2,36,5,41
Poland,47,1,36,0,47
Germany,32,1,27,4,32
Brazil,25,0,6,1,25
Japan,35,1,35,0,15
Netherlands,36,1,26,3,36
United States of America,73,2,26,7,73
United States of America,52,1,22,11,52
Poland,35,1,32,1,35
Guatemala,94,3,9,11,94
Congo,71,3,18,0,71
Brazil,61,2,3,5,61
Nigeria,80,2,22,1,80
Kyrgyzstan,101,1,60,0,101
Italy,48,1,45,0,48
India,156,1,33,0,156
Mauritius,30,0,28,0,30
France,27,0,27,0,10
India,57,0,30,0,57
Philippines,55,1,20,0,55
Indonesia,54,1,35,0,54
China,69,1,45,4,69
China,76,3,32,2,76
China,74,3,29,2,74
Brazil,36,1,2,0,36
Brazil,51,1,7,4,51
Peru,41,1,18,1,41
United States of America,56,1,44,4,56
United States of America,58,1,43,5,58
United States of America,45,1,32,7,45
Kazakhstan,50,1,41,0,50
India,68,0,24,0,68
United States of America,46,1,46,2,31
Greece,67,1,44,2,67
Mexico,77,3,7,8,77
Serbia,63,1,33,1,63
Thailand,42,0,19,0,42
Thailand,59,1,27,0,59
Thailand,35,0,17,0,35
India,444,2,111,1,391
Egypt,60,2,60,3,55
Italy,48,1,48,0,12
Russian Federation,32,1,32,0,26
United Kingdom of Great Britain and Northern Ireland,56,0,32,1,56
Germany,32,1,32,1,30
Czechia,29,0,29,2,29
Malawi,28,0,19,0,28
Switzerland,34,1,25,2,34
Brazil,18,0,8,0,18
Serbia,68,1,32,1,68
Cuba,89,1,22,1,89
India,208,3,152,1,208
United States of America,58,2,29,12,58
United States of America,53,1,40,6,53
Canada,35,1,35,3,34
France,37,1,25,2,37
Belgium,35,1,32,3,35
France,39,1,25,2,39
Saudi Arabia,122,1,49,0,122
Japan,40,1,40,2,34
United Kingdom of Great Britain and Northern Ireland,58,0,32,1,58
India,303,1,48,0,260
Brazil,30,0,16,1,30
India,193,0,38,0,193
Turkey,36,1,36,0,30
Indonesia,49,1,30,0,49
Brazil,32,1,14,1,32
United States of America,28,1,22,4,28
Canada,21,1,21,1,13
Indonesia,63,2,40,0,63
Peru,30,1,1,0,30
Spain,32,1,30,1,32
Mexico,48,1,5,4,48
Israel,80,1,62,4,80
Chile,182,14,1,23,182
India,356,1,60,0,284
United States of America,62,1,44,5,62
Bangladesh,191,2,133,2,191
India,150,1,41,0,150
Thailand,53,0,27,0,53
India,226,1,48,1,226
Brazil,16,0,12,0,16
Finland,34,1,34,1,17
Germany,30,1,27,2,30
United States of America,55,2,26,12,55
Benin,73,1,20,1,73
Italy,46,1,46,0,14
Sierra Leone,48,1,16,0,48
Haiti,103,1,25,1,103
Portugal,46,0,30,2,46
United States of America,43,1,43,2,39
United States of America,52,1,44,4,52
India,500,1,40,0,464
Thailand,36,0,16,0,36
Germany,39,0,39,0,23
Russian Federation,58,1,25,9,58
Brazil,24,0,7,1,24
Brazil,52,1,4,3,52
United States of America,56,1,21,6,56
United States of America,76,2,15,17,76
Brazil,95,3,23,8,95
Peru,25,1,3,0,25
France,40,1,30,1,40
Lebanon,78,1,46,1,78
Italy,47,1,47,2,27
France,42,1,31,1,42
Brazil,39,1,14,2,39
France,37,1,30,1,37
Philippines,50,1,23,0,50
India,190,2,98,1,190
United States of America,62,1,18,13,62
India,152,0,29,0,152
Thailand,56,1,31,0,56
China,145,2,145,3,82
India,292,3,136,3,292
United Republic of Tanzania,20,0,14,0,20
India,153,0,29,0,153
Brazil,25,0,9,1,25
Uruguay,38,1,19,2,38
India,158,0,25,0,158
Russian Federation,34,1,34,0,10
Turkey,46,1,29,0,46
India,173,3,159,1,173
Turkey,44,1,33,0,44
Ukraine,39,1,39,0,12
Benin,101,3,18,2,101
Russian Federation,37,1,37,0,30
United States of America,60,1,22,3,60
United Republic of Tanzania,23,0,17,0,23
United States of America,93,1,24,5,93
United States of America,28,1,28,8,25
Mexico,91,2,22,3,91
United States of America,39,1,22,1,39
Mexico,66,1,10,5,66
Bolivia (Plurinational State of),6,0,5,0,6
United States of America,44,1,27,10,44
Pakistan,153,3,153,1,152
Japan,42,1,42,0,12
Italy,62,1,32,4,62
United Kingdom of Great Britain and Northern Ireland,35,1,22,6,35
United Kingdom of Great Britain and Northern Ireland,27,1,25,3,27
Namibia,19,0,18,0,19
India,198,3,91,3,198
India,175,1,51,1,175
Spain,33,1,33,1,28
India,194,1,46,0,194
India,500,1,47,1,500
Brazil,37,1,3,3,37
Netherlands,30,0,30,2,27
United States of America,61,1,10,16,61
Poland,32,1,24,3,32
Iran (Islamic Republic of),84,1,45,0,84
Russian Federation,33,1,33,1,21
Japan,44,1,44,0,15
Albania,68,1,39,1,68
United States of America,57,2,21,11,57
United States of America,29,1,29,2,27
,30,1,30,3,25
Mexico,35,1,22,1,35
Germany,37,1,21,4,37
Cameroon,76,3,8,1,76
China,90,3,46,3,90
France,34,1,26,9,34
United States of America,65,1,30,1,65
France,29,0,28,2,29
United States of America,37,1,27,8,37
United States of America,72,1,29,3,72
Brazil,169,7,0,21,169
Germany,36,1,25,3,36
United States of America,46,1,37,2,46
Japan,71,1,71,3,49
Germany,29,0,29,2,26
Israel,77,1,43,6,77
India,48,0,24,0,48
Spain,57,1,19,10,57
Italy,53,1,38,2,53
Netherlands,30,0,25,3,30
Germany,31,0,30,1,31
Guyana,27,0,19,0,27
Germany,30,0,28,2,30
India,120,1,30,0,120
United States of America,25,0,24,2,25
United States of America,57,2,22,14,57
Thailand,66,1,28,1,66
Philippines,70,1,21,0,70
Iran (Islamic Republic of),105,1,49,0,105
Brazil,12,1,12,0,11
China,25,0,25,0,12
India,129,0,30,0,129
Germany,32,1,27,3,32
France,42,1,28,0,42
Brazil,34,1,13,1,34
Colombia,60,2,8,4,60
Netherlands,33,0,33,1,26
United Kingdom of Great Britain and Northern Ireland,37,1,12,13,37
Philippines,50,1,20,0,50
France,46,1,26,2,46
Germany,31,0,28,1,31
Malaysia,95,9,95,0,46
China,192,4,192,6,124
Czechia,49,1,24,2,49
Belgium,31,0,31,2,31
Belgium,34,0,29,3,34
Netherlands,32,0,27,3,32
Congo,100,1,16,0,100
Senegal,176,2,21,3,176
Poland,35,1,20,3,35
Poland,32,1,32,1,28
Indonesia,98,2,47,0,98
Philippines,32,1,29,0,32
India,164,1,35,0,164
Ukraine,61,1,29,1,61
Brazil,16,1,12,0,16
Pakistan,167,1,49,1,167
Lesotho,117,4,14,7,117
United States of America,56,1,25,2,56
United Republic of Tanzania,50,0,23,0,50
India,119,1,35,0,119
India,180,1,45,0,180
India,171,1,36,0,171
India,434,1,53,1,362
United States of America,53,1,18,14,53
Ukraine,50,1,24,11,50
France,40,1,26,3,40
Philippines,55,1,19,0,55
Benin,34,1,18,1,34
Iran (Islamic Republic of),172,3,172,5,145
Italy,69,1,22,6,69
Mongolia,38,0,38,0,34
India,184,1,39,1,184
Democratic Republic of the Congo,74,2,23,1,74
Venezuela (Bolivarian Republic of),118,1,17,4,118
Italy,52,1,52,1,36
India,500,1,73,1,500
Germany,30,0,30,1,25
China,207,4,207,3,150
France,35,0,28,2,35
Germany,34,0,28,2,34
United States of America,73,2,35,8,73
Japan,38,1,38,0,20
India,70,0,22,0,70
Bulgaria,40,1,40,1,24
Pakistan,500,1,43,0,443
Germany,28,0,27,2,28
United States of America,52,1,27,12,52
United States of America,70,2,20,20,70
Finland,33,0,33,0,5
Japan,59,1,59,1,23
Germany,30,0,30,1,24
China,169,4,169,3,150
Japan,45,1,45,0,16
Japan,44,1,44,0,22
United States of America,61,1,27,11,61
Somalia,58,0,21,0,58
Japan,44,1,44,0,32
Solomon Islands,18,0,18,0,6
India,65,0,22,0,65
Paraguay,20,0,20,0,20
Armenia,31,0,31,0,30
China,138,3,138,2,112
Peru,39,1,19,1,39
Zimbabwe,44,0,17,0,44
Japan,74,1,74,1,35
India,51,0,23,0,51
Nigeria,125,5,16,2,125
India,95,0,22,0,95
India,500,1,40,0,376
Russian Federation,40,1,30,8,40
India,108,0,23,0,108
Namibia,72,0,19,0,72
Ukraine,75,1,37,1,75
United Republic of Tanzania,20,0,14,0,20
Turkey,64,1,41,0,64
Ukraine,37,1,37,0,30
United States of America,40,0,21,1,40
Russian Federation,35,1,35,0,15
,33,1,17,8,33
Austria,59,1,30,3,59
Croatia,48,1,48,0,35
Papua New Guinea,104,0,22,0,104
Russian Federation,30,1,30,0,10
Czechia,50,1,23,4,50
Poland,32,1,32,1,29
Russian Federation,42,1,32,0,42
Poland,46,1,21,4,46
Pakistan,230,5,130,9,230
Russian Federation,39,1,39,0,20
India,72,1,28,2,72
Chad,59,2,6,0,59
India,69,0,26,0,69
Ukraine,78,1,38,0,78
Russian Federation,29,1,28,0,29
Russian Federation,34,1,34,1,24
Germany,36,1,26,2,36
Germany,30,0,30,1,27
Ukraine,52,1,36,1,52
India,74,0,24,0,74
Russian Federation,48,1,33,1,48
India,54,0,21,0,54
Japan,33,1,33,0,9
Myanmar,61,0,21,0,61
Mexico,37,1,8,3,37
France,60,1,30,6,60
Honduras,55,2,5,4,55
United States of America,58,2,14,19,58
Brazil,17,1,17,0,12
Brazil,34,0,15,2,34
Germany,41,0,28,2,41
Brazil,31,1,15,1,31
Brazil,24,1,8,0,24
Japan,78,1,78,3,51
Spain,43,1,43,0,30
India,390,1,54,1,335
India,150,1,30,0,150
Nigeria,159,6,16,5,159
United Kingdom of Great Britain and Northern Ireland,31,1,31,2,25
Japan,116,2,116,0,64
Côte d'Ivoire,84,2,10,1,84
Brazil,16,0,16,0,16
Brazil,28,0,14,1,28
Ukraine,59,1,31,0,59
Ukraine,51,1,34,1,51
Spain,36,1,17,3,36
India,139,1,31,0,139
India,500,1,49,1,493
India,174,1,59,1,174
India,156,5,124,10,156
China,162,10,79,25,162
Mexico,95,2,9,9,95
India,130,1,31,0,130
China,93,2,51,2,93
Poland,43,1,30,3,43
Germany,34,1,23,3,34
United Republic of Tanzania,171,6,10,3,171
China,95,2,79,0,95
Finland,32,1,32,0,24
India,500,2,95,2,478
India,59,1,32,0,59
Russian Federation,24,1,24,0,19
Ukraine,78,1,36,1,78
Cambodia,59,1,27,0,59
Pakistan,135,2,135,1,86
India,500,3,53,8,500
Finland,30,1,30,2,14
China,201,3,201,4,142
India,84,1,40,1,84
India,23,1,21,0,23
India,168,3,168,2,146
India,144,1,36,0,144
Russian Federation,38,1,37,1,38
Japan,75,1,75,1,34
United States of America,54,1,6,14,54
Hungary,65,1,27,2,65
Belgium,39,1,23,5,39
Turkey,37,1,31,5,37
United States of America,36,0,20,1,36
United States of America,53,1,31,6,53
India,112,1,29,2,112
India,130,0,31,0,130
Italy,40,1,40,2,23
France,59,1,37,6,59
United States of America,29,1,29,2,17
Uganda,62,2,17,0,62
Malaysia,79,2,36,0,79
Chad,65,2,23,1,65
United Republic of Tanzania,19,0,19,0,19
Tunisia,57,1,57,1,53
Germany,44,1,35,2,44
Philippines,78,1,31,0,78
Cuba,56,1,25,1,56
Senegal,171,2,20,3,171
Colombia,121,4,7,8,121
Argentina,14,1,14,0,3
United States of America,95,1,23,10,95
United States of America,52,1,33,3,52
Hungary,67,1,36,2,67
Netherlands,34,0,34,2,32
Turkey,72,1,42,1,72
Brazil,47,1,7,1,47
Uruguay,22,0,19,0,22
Brazil,41,0,11,0,41
India,178,4,178,2,170
India,159,2,134,1,159
Italy,89,2,33,5,89
Indonesia,155,3,91,2,155
Japan,36,1,36,0,28
Philippines,70,1,23,2,70
France,32,1,32,2,32
France,62,1,17,7,62
Hungary,61,1,39,1,61
Bangladesh,142,3,48,2,142
Belgium,40,1,29,3,40
United States of America,30,1,19,4,30
India,73,0,24,0,73
Italy,104,1,34,6,104
Germany,51,1,23,4,51
Mexico,59,1,21,1,59
Poland,106,2,28,8,106
India,140,0,29,0,140
India,334,3,113,3,326
Mexico,92,2,34,1,92
India,118,2,27,2,118
Italy,54,1,54,2,18
Pakistan,164,3,164,1,138
India,195,1,36,0,195
India,62,2,34,1,62
