Country,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Mexico,198,4,3,18,198
United States of America,63,1,5,20,63
Germany,73,1,34,3,73
India,51,1,26,0,51
Brazil,60,1,10,2,60
United Kingdom of Great Britain and Northern Ireland,28,1,28,5,26
United States of America,64,1,18,11,64
New Zealand,18,0,9,2,18
France,46,1,36,2,46
Brazil,50,1,12,2,50
United Kingdom of Great Britain and Northern Ireland,38,1,32,1,38
Japan,84,2,24,18,84
Russian Federation,35,1,35,1,12
Russian Federation,37,1,37,0,18
Japan,59,1,51,3,59
,25,2,25,0,18
United States of America,41,1,33,1,41
Brazil,45,1,22,0,45
China,128,3,30,11,128
India,156,4,31,5,156
Bulgaria,53,1,47,0,53
Japan,52,1,28,4,52
Greece,105,1,41,0,105
Ethiopia,77,1,34,0,77
Mexico,57,1,27,0,57
United States of America,57,1,46,1,57
Japan,37,1,37,6,36
Kenya,84,2,12,1,84
Pakistan,170,5,29,12,170
India,156,4,15,11,156
India,169,5,47,7,169
United States of America,57,1,46,4,57
Japan,43,1,43,1,16
Germany,38,1,25,3,38
Pakistan,171,1,44,3,171
United States of America,65,1,29,3,65
United States of America,154,4,7,26,154
Poland,49,1,23,3,49
Greece,51,1,44,0,51
Mexico,88,2,12,3,88
Iran (Islamic Republic of),151,1,54,1,151
France,29,0,29,2,28
Côte d'Ivoire,34,1,12,0,34
United States of America,70,2,11,16,70
United States of America,65,2,34,9,65
Germany,33,0,29,1,33
Kazakhstan,58,1,34,0,58
Turkey,44,1,44,0,22
Mexico,42,1,23,0,42
India,131,0,21,0,131
Germany,32,1,32,3,27
United States of America,43,1,19,6,43
United States of America,61,2,30,8,61
France,32,1,28,1,32
China,178,4,178,4,129
France,30,1,25,1,30
Spain,35,0,35,0,19
China,82,2,82,4,67
India,78,1,41,1,78
Russian Federation,57,1,27,8,57
Russian Federation,32,1,32,0,29
Japan,67,1,67,0,30
,50,1,44,2,50
United States of America,64,2,14,19,64
United States of America,56,1,12,9,56
United States of America,63,1,33,1,63
China,115,3,40,2,115
Democratic Republic of the Congo,53,1,22,0,53
Uganda,61,2,27,0,61
Russian Federation,37,1,37,0,10
New Zealand,65,0,27,0,65
Poland,43,1,26,3,43
Brazil,21,0,6,1,21
United Kingdom of Great Britain and Northern Ireland,38,1,30,3,38
Indonesia,42,1,26,0,42
Russian Federation,48,1,40,0,48
Japan,45,1,37,4,45
Spain,36,1,30,3,36
Serbia,35,1,35,0,28
Russian Federation,53,1,27,7,53
Côte d'Ivoire,73,1,15,0,73
Ukraine,58,1,39,2,58
United States of America,70,1,46,5,70
Saudi Arabia,144,1,53,0,144
Uganda,102,6,30,2,102
Brazil,56,1,8,1,56
United States of America,74,2,40,10,74
Costa Rica,46,1,18,4,46
Philippines,16,0,16,0,13
Russian Federation,48,1,32,0,48
India,145,1,32,0,145
India,157,1,44,0,157
Germany,30,0,30,1,27
United Republic of Tanzania,23,0,16,0,23
Mali,42,1,14,0,42
India,143,1,42,0,143
Thailand,56,1,27,0,56
India,181,3,94,4,181
Russian Federation,31,1,31,0,30
Czechia,30,1,30,2,29
Japan,43,1,43,1,36
United States of America,51,1,28,1,51
Liberia,21,0,17,0,21
United States of America,67,2,9,22,67
United States of America,40,1,40,4,25
France,145,1,34,1,145
United States of America,59,1,21,6,59
United States of America,48,1,48,3,42
Brazil,38,1,7,1,38
United States of America,60,1,8,17,60
Norway,46,1,46,1,22
Philippines,54,1,26,1,54
United States of America,75,2,17,19,75
Russian Federation,37,1,37,2,34
India,131,1,34,0,131
Spain,49,1,31,0,49
India,180,4,180,2,175
Pakistan,191,4,191,1,172
Sierra Leone,40,1,17,0,40
Italy,65,2,48,8,65
United Kingdom of Great Britain and Northern Ireland,78,1,27,0,78
China,122,2,122,4,93
Guinea,20,1,17,0,20
Nigeria,145,7,24,5,145
Iran (Islamic Republic of),100,1,40,0,100
Tunisia,55,1,47,0,55
Indonesia,52,1,29,0,52
Ukraine,70,1,35,1,70
Pakistan,189,3,186,2,189
India,105,0,24,0,105
India,500,1,38,0,433
China,148,5,61,10,148
China,207,7,207,9,170
Ukraine,40,1,40,1,9
Poland,44,1,26,2,44
Germany,52,1,29,3,52
United States of America,49,1,19,5,49
China,100,4,92,4,100
Germany,31,1,29,4,31
Argentina,22,0,14,3,22
Colombia,81,1,22,1,81
Philippines,84,1,26,1,84
Brazil,24,1,16,1,24
United Kingdom of Great Britain and Northern Ireland,56,0,32,1,56
Sweden,36,0,36,0,24
United States of America,67,2,29,8,67
China,142,3,142,3,119
Germany,34,1,27,3,34
Ukraine,47,1,37,0,47
United Republic of Tanzania,23,0,18,0,23
Chile,74,3,2,5,74
Cuba,102,1,24,1,102
Uganda,75,2,26,0,75
Philippines,31,1,16,0,31
Spain,33,1,33,2,28
United States of America,57,1,25,5,57
Thailand,56,1,30,0,56
Serbia,86,1,47,0,86
Malaysia,63,2,32,0,63
India,64,2,44,1,64
China,99,3,66,4,99
Sudan,51,1,20,0,51
Italy,56,1,46,0,56
Mauritius,39,0,30,0,39
Germany,60,2,29,6,60
United States of America,53,1,30,9,53
,14,0,13,0,14
Belgium,63,1,37,3,63
Brazil,28,0,15,2,28
China,163,4,46,14,163
Netherlands,35,1,29,5,35
Netherlands,52,1,19,8,52
Brazil,19,0,19,0,15
Russian Federation,35,1,33,0,35
United States of America,63,1,19,10,63
Germany,59,1,36,2,59
Germany,60,1,37,2,60
United States of America,46,1,33,3,46
Germany,61,1,34,4,61
Netherlands,49,1,20,7,49
China,83,3,66,3,83
China,152,1,41,0,152
Mali,164,1,37,0,164
Tajikistan,120,1,38,1,120
Russian Federation,26,1,26,3,25
India,159,1,31,4,159
India,74,2,19,3,74
United States of America,51,1,29,5,51
Germany,64,1,54,0,64
Germany,64,1,54,0,64
Albania,58,1,43,1,58
Netherlands,30,1,30,3,26
India,182,6,37,18,182
United States of America,32,1,32,0,23
France,53,1,40,1,53
Slovakia,67,1,67,0,61
Indonesia,81,2,49,1,81
Brazil,157,5,2,18,157
India,144,2,131,0,144
Germany,58,1,37,2,58
Sri Lanka,63,0,22,0,63
Russian Federation,35,1,35,1,33
South Africa,139,3,7,10,139
Gabon,89,0,29,0,89
Germany,56,1,37,4,56
Austria,56,1,45,1,56
Russian Federation,35,1,35,0,35
India,27,0,22,0,27
India,175,1,37,0,175
Somalia,31,0,19,0,31
Japan,37,1,37,2,14
Kenya,23,1,23,0,23
Colombia,54,1,16,2,54
Thailand,60,1,34,0,60
Brazil,74,2,3,1,74
Brazil,92,3,0,7,92
Italy,72,1,40,2,72
Brazil,28,1,4,2,28
Thailand,72,2,72,0,71
Brazil,39,1,17,0,39
China,64,2,63,1,64
Belgium,35,1,32,3,35
Iran (Islamic Republic of),155,1,54,0,155
Viet Nam,158,4,158,1,100
Finland,35,1,35,1,13
United States of America,57,1,31,8,57
United States of America,75,2,36,10,75
Senegal,153,1,25,1,153
Ukraine,50,1,37,0,50
United States of America,52,1,52,1,39
Russian Federation,39,1,39,2,37
United States of America,65,2,38,9,65
Nepal,136,3,23,6,136
Australia,25,0,25,3,17
Japan,52,1,47,2,52
United States of America,51,1,44,1,51
Mexico,65,1,24,0,65
Germany,64,1,53,0,64
Russian Federation,43,1,21,8,43
United States of America,65,1,65,4,56
India,184,5,63,12,184
China,158,6,105,15,158
,45,1,25,0,45
India,132,3,33,8,132
Russian Federation,39,1,39,0,8
Finland,36,1,36,0,2
Japan,48,1,48,3,44
China,149,1,42,1,149
India,166,1,30,0,166
Brazil,72,2,2,6,72
Poland,82,1,34,1,82
Japan,55,1,55,2,46
Russian Federation,34,1,34,1,21
Ukraine,36,1,36,0,10
Slovakia,85,1,37,1,85
Germany,52,1,38,1,52
Colombia,99,3,0,8,99
Hungary,50,1,44,0,50
India,152,1,39,0,152
Nigeria,150,7,22,5,150
France,84,3,16,10,84
Denmark,34,1,34,3,29
Canada,59,1,25,2,59
France,79,2,19,7,79
South Africa,96,3,20,3,96
Bosnia and Herzegovina,56,1,37,0,56
United States of America,62,2,18,17,62
United States of America,44,2,30,4,44
United States of America,46,2,34,5,46
India,85,0,27,0,85
Japan,37,1,37,2,19
Germany,47,1,36,1,47
Germany,65,2,22,11,65
Indonesia,74,1,31,0,74
Ukraine,47,1,38,0,47
Germany,55,1,37,2,55
Central African Republic,74,2,17,0,74
France,47,1,47,0,31
Tunisia,103,1,103,1,53
Poland,42,1,42,0,23
South Africa,82,1,0,18,82
Malaysia,100,2,18,7,100
India,170,2,46,2,170
Brazil,63,1,23,1,63
India,158,3,76,2,158
Germany,61,1,54,0,61
India,137,3,21,7,137
Germany,64,1,64,0,62
Mexico,60,1,24,0,60
Peru,47,1,23,0,47
Lithuania,35,1,35,0,23
Mongolia,44,1,30,0,44
,22,1,22,0,22
United States of America,29,0,25,1,29
Russian Federation,53,1,38,2,53
Germany,43,1,43,0,24
United Kingdom of Great Britain and Northern Ireland,26,1,26,1,23
United States of America,53,1,39,2,53
Russian Federation,40,1,40,0,15
Japan,90,2,27,14,90
Philippines,120,2,28,6,120
Argentina,23,0,23,0,23
Brazil,41,1,20,0,41
India,209,2,137,1,209
Germany,33,0,33,0,17
Japan,37,1,37,0,20
Thailand,31,0,25,0,31
Pakistan,182,1,81,1,182
Togo,60,1,14,0,60
Senegal,162,2,17,2,162
Spain,34,1,34,2,22
United Kingdom of Great Britain and Northern Ireland,33,0,33,1,16
Russian Federation,32,1,30,2,32
Japan,41,1,41,1,33
Ecuador,46,1,0,3,46
India,173,5,121,6,173
Netherlands,37,1,31,2,37
United Kingdom of Great Britain and Northern Ireland,38,1,26,2,38
Netherlands,33,0,33,1,15
Ukraine,39,1,39,0,13
China,178,3,178,2,118
Pakistan,70,0,31,0,70
Guinea-Bissau,131,1,23,0,131
Brazil,21,0,12,1,21
United Kingdom of Great Britain and Northern Ireland,43,1,33,2,43
Brazil,127,3,5,11,127
Brazil,15,0,15,0,12
Slovenia,70,1,25,2,70
India,166,3,166,1,152
Malaysia,107,1,35,3,107
Philippines,43,1,20,0,43
Zambia,19,0,19,0,16
United Kingdom of Great Britain and Northern Ireland,32,1,24,4,32
Australia,18,0,18,0,14
Papua New Guinea,11,0,11,0,6
Uganda,125,5,22,2,125
Brazil,24,0,23,0,24
India,155,3,140,1,155
Nepal,152,3,152,0,150
United Kingdom of Great Britain and Northern Ireland,30,0,30,3,16
Philippines,55,1,25,0,55
South Sudan,59,1,13,0,59
Spain,73,1,25,3,73
Guatemala,104,4,6,14,104
France,67,1,23,5,67
Hungary,68,1,33,1,68
Tajikistan,133,1,38,0,133
South Africa,107,3,17,6,107
Japan,29,1,29,1,18
Uganda,61,2,15,0,61
Italy,152,4,17,6,152
Iran (Islamic Republic of),56,1,45,0,56
Russian Federation,44,1,30,0,44
Germany,52,1,36,2,52
Bangladesh,47,3,33,1,47
Germany,52,1,31,3,52
United States of America,59,1,35,3,59
Brazil,45,1,11,1,45
India,162,1,34,0,162
Italy,45,1,29,5,45
Sri Lanka,88,1,20,3,88
Finland,33,1,33,0,3
France,71,1,43,2,71
Russian Federation,39,1,39,0,14
Philippines,70,1,22,1,70
United Republic of Tanzania,21,0,21,0,16
Spain,41,1,41,0,28
United Kingdom of Great Britain and Northern Ireland,36,1,33,1,36
France,48,1,32,1,48
Uzbekistan,116,1,20,16,116
China,195,13,2,31,195
Ghana,38,1,25,0,38
Spain,43,1,43,0,21
United States of America,53,1,17,5,53
United Kingdom of Great Britain and Northern Ireland,37,1,24,4,37
Guatemala,68,2,17,3,68
Belgium,55,1,42,1,55
United States of America,79,1,79,3,34
United States of America,57,1,39,6,57
Mexico,210,5,25,11,210
Thailand,26,1,9,1,26
India,71,1,19,4,71
Mozambique,44,0,30,0,44
Pakistan,155,3,132,1,155
Japan,39,1,39,0,36
United States of America,46,1,32,4,46
France,142,1,31,2,142
India,113,0,26,0,113
United States of America,38,0,28,1,38
China,304,1,42,2,298
United Kingdom of Great Britain and Northern Ireland,34,0,34,0,27
Ukraine,44,1,35,5,44
India,84,2,19,5,84
United States of America,44,1,44,1,44
United States of America,32,1,32,1,28
Democratic Republic of the Congo,66,2,22,0,66
Honduras,61,1,17,1,61
Pakistan,162,4,47,8,162
Mexico,153,2,36,4,153
Hungary,62,1,62,0,53
Belgium,52,1,37,2,52
Hungary,58,1,52,0,58
Russian Federation,42,1,42,0,22
Russian Federation,56,1,31,0,56
Mexico,60,1,19,3,60
Greece,77,1,43,5,77
France,70,1,46,1,70
United States of America,50,1,44,1,50
Kenya,150,4,19,3,150
Japan,66,1,20,9,66
United States of America,56,1,41,1,56
Portugal,40,1,40,1,19
Germany,61,1,61,0,58
Russian Federation,61,1,44,1,61
Spain,42,1,42,0,12
Hungary,65,1,61,0,65
Thailand,106,2,13,7,106
Italy,52,1,52,0,30
Germany,43,1,43,0,26
Mexico,75,1,30,0,75
India,158,4,22,6,158
United States of America,38,2,37,4,38
Italy,47,1,46,2,47
Belgium,57,1,29,4,57
Ukraine,36,1,36,0,24
Democratic Republic of the Congo,34,1,23,0,34
Madagascar,44,1,21,0,44
India,158,4,158,2,105
Sudan,182,2,33,0,182
Italy,42,1,28,4,42
Peru,40,1,13,2,40
United States of America,34,1,18,3,34
United States of America,35,2,31,6,35
Viet Nam,52,1,32,0,52
Germany,49,1,25,6,49
Cuba,63,1,15,6,63
Brazil,28,1,4,2,28
Japan,33,1,33,2,14
Iran (Islamic Republic of),49,1,44,0,49
India,133,1,36,1,133
United States of America,133,4,4,34,133
Ukraine,43,1,43,0,7
United States of America,53,1,20,10,53
Spain,22,1,22,2,22
Greece,91,1,47,1,91
Ecuador,23,1,3,1,23
Russian Federation,50,1,31,2,50
China,178,2,178,8,119
China,73,2,73,1,62
United States of America,64,2,14,25,64
Germany,74,2,33,6,74
United States of America,50,1,26,4,50
United States of America,88,3,6,27,88
Germany,60,1,36,2,60
France,55,1,27,0,55
Benin,70,1,18,1,70
Russian Federation,39,1,39,0,31
Armenia,89,1,40,0,89
India,54,1,28,2,54
China,167,8,18,24,167
Nigeria,78,2,43,0,78
Russian Federation,39,1,39,0,30
China,200,1,32,2,200
China,170,8,7,24,170
Russian Federation,39,1,32,1,39
India,53,2,42,0,53
Algeria,36,0,36,0,5
United States of America,139,1,24,2,139
Romania,39,1,35,0,39
India,57,0,21,0,57
Italy,45,1,23,5,45
Brazil,26,0,21,0,26
Netherlands,35,0,35,2,31
Germany,41,1,30,2,41
Côte d'Ivoire,52,1,18,0,52
Netherlands,36,0,32,1,36
India,192,1,42,0,192
Mexico,281,4,1,15,281
Spain,31,1,25,2,31
Russian Federation,31,1,31,1,24
India,85,0,26,0,85
India,158,0,26,0,158
Netherlands,44,1,24,4,44
India,153,0,30,0,153
Ukraine,56,1,39,0,56
Belarus,36,0,36,0,29
,33,0,33,5,30
United States of America,47,1,32,6,47
United States of America,46,1,26,2,46
China,88,3,88,1,81
United Kingdom of Great Britain and Northern Ireland,44,1,23,4,44
Germany,68,1,36,1,68
Poland,35,0,32,1,35
Russian Federation,33,1,33,1,21
Iran (Islamic Republic of),58,1,42,0,58
Poland,83,2,18,9,83
India,305,3,119,3,305
United States of America,40,1,34,5,40
India,176,1,41,0,176
India,188,2,119,1,188
Iran (Islamic Republic of),96,1,39,0,96
Russian Federation,31,1,31,0,25
Philippines,53,1,20,0,53
Burundi,97,3,16,1,97
Portugal,34,0,33,3,34
Philippines,63,1,23,1,63
Brazil,32,0,13,0,32
United States of America,78,1,23,4,78
United States of America,64,1,14,12,64
Romania,65,1,35,0,65
Slovakia,48,1,30,1,48
India,141,0,28,1,141
Iraq,112,1,49,0,112
Armenia,51,1,36,0,51
India,157,1,39,0,157
Belgium,39,1,30,3,39
Mexico,55,2,8,4,55
United States of America,34,1,34,1,17
,109,2,45,8,109
Russian Federation,34,1,34,0,23
United States of America,83,2,12,20,83
Russian Federation,39,1,39,1,28
Mexico,34,1,24,2,34
United States of America,40,2,38,9,40
Thailand,53,0,16,0,53
Brazil,25,0,8,1,25
United States of America,52,1,24,11,52
Japan,28,1,28,2,24
Germany,59,1,35,3,59
Germany,29,0,29,1,26
Russian Federation,54,1,26,7,54
Brazil,36,1,6,0,36
Russian Federation,36,1,30,2,36
Germany,37,1,37,1,26
Thailand,40,0,19,0,40
Belgium,36,1,29,3,36
Pakistan,167,0,38,0,167
Colombia,111,4,1,7,111
United States of America,41,1,34,6,41
United Republic of Tanzania,34,0,20,0,34
United States of America,51,2,16,8,51
Hungary,68,1,36,1,68
Indonesia,39,1,24,0,39
Peru,31,1,12,2,31
India,152,0,28,0,152
Indonesia,86,2,49,0,86
Mexico,197,2,13,12,197
Mexico,54,1,10,5,54
India,45,0,21,0,45
Spain,26,1,21,2,26
Italy,47,1,47,1,25
Italy,53,1,48,1,53
Japan,60,1,60,0,21
Japan,48,1,48,0,23
India,78,0,26,0,78
South Africa,156,8,4,13,156
Russian Federation,51,1,33,2,51
United States of America,82,2,18,30,82
United States of America,50,1,30,7,50
Germany,31,0,24,3,31
Brazil,22,0,11,0,22
Germany,32,1,26,3,32
India,500,2,88,1,494
Netherlands,30,1,30,3,27
Austria,26,0,26,1,17
Germany,35,1,35,1,26
France,30,0,30,1,17
Ukraine,56,1,38,1,56
United States of America,52,1,24,1,52
Philippines,54,1,24,1,54
Viet Nam,73,2,36,1,73
Italy,59,1,34,2,59
Mexico,16,1,10,1,16
India,204,1,42,0,204
France,38,1,25,2,38
France,31,1,31,1,30
Japan,81,3,16,18,81
United States of America,37,1,37,0,35
United States of America,59,2,38,8,59
Portugal,42,1,42,0,19
India,181,4,77,7,181
United States of America,68,2,25,7,68
Spain,33,1,19,4,33
India,150,3,139,1,150
Latvia,34,1,34,0,26
Republic of North Macedonia,59,1,41,0,59
Mexico,52,1,17,2,52
Iran (Islamic Republic of),140,1,117,0,140
United States of America,39,1,27,9,39
United States of America,30,1,30,3,22
Japan,37,1,37,1,19
Guyana,61,0,20,0,61
United States of America,55,2,20,12,55
India,155,1,25,0,155
Indonesia,23,0,22,0,23
United States of America,72,1,24,3,72
Poland,36,0,32,0,36
Cabo Verde,40,0,40,0,27
China,95,2,87,0,95
Russian Federation,44,1,25,8,44
Russian Federation,46,1,29,1,46
India,500,1,40,0,464
Italy,56,1,31,3,56
Brazil,110,3,7,12,110
Egypt,65,1,52,3,65
India,90,0,24,0,90
Germany,33,0,33,1,32
Russian Federation,48,1,36,0,48
Brazil,37,1,5,0,37
India,176,0,33,0,176
Sierra Leone,50,1,11,0,50
United States of America,64,1,24,3,64
Romania,65,1,41,0,65
Italy,37,1,37,3,34
Italy,41,1,41,2,18
United States of America,41,1,23,2,41
France,48,1,24,2,48
Italy,52,1,52,2,38
Japan,48,1,48,0,19
Germany,39,1,25,2,39
Germany,41,1,26,3,41
Ukraine,40,1,40,4,39
Indonesia,46,1,25,0,46
Burkina Faso,38,1,12,0,38
,128,0,29,0,128
South Africa,262,16,3,15,262
India,79,0,21,0,79
,47,1,47,0,32
Italy,42,1,42,1,21
Viet Nam,69,2,49,2,69
Finland,29,0,29,1,5
United Kingdom of Great Britain and Northern Ireland,52,0,36,2,52
India,63,3,36,2,63
United Republic of Tanzania,20,0,16,0,20
India,70,1,24,1,70
China,49,1,21,2,49
United States of America,59,2,29,14,59
Germany,53,1,31,3,53
Spain,37,1,37,0,16
Germany,110,1,23,2,110
Italy,38,1,38,2,23
Colombia,56,1,11,5,56
Poland,30,1,30,1,30
Germany,28,0,28,1,28
Pakistan,203,3,203,3,109
Brazil,187,10,0,34,187
Turkey,37,1,37,1,26
Japan,42,1,42,0,31
Italy,57,1,24,10,57
Russian Federation,52,1,29,2,52
Brazil,19,0,14,0,19
United States of America,51,1,28,8,51
India,154,0,37,0,154
Brazil,39,1,2,3,39
Malaysia,61,3,21,0,61
Portugal,42,1,36,2,42
United Kingdom of Great Britain and Northern Ireland,49,1,5,11,49
United States of America,50,1,33,8,50
Japan,41,1,41,0,29
Japan,31,1,31,3,27
Indonesia,92,2,86,1,92
China,159,3,159,3,121
Brazil,27,0,11,2,27
Turkey,46,1,46,0,36
United States of America,71,2,5,27,71
United States of America,62,2,21,10,62
Russian Federation,18,1,18,1,9
United States of America,56,1,31,0,56
Russian Federation,48,1,48,1,28
Brazil,22,0,19,0,22
New Zealand,28,0,28,0,12
Italy,54,1,54,0,40
United Kingdom of Great Britain and Northern Ireland,34,1,30,1,34
,38,1,38,0,23
Brazil,11,0,11,0,3
United States of America,51,1,42,2,51
United States of America,122,1,19,2,122
Indonesia,69,1,29,0,69
Indonesia,177,7,9,17,177
Portugal,41,0,41,0,20
China,72,2,28,7,72
Germany,61,1,53,0,61
United States of America,54,1,28,0,54
Germany,53,1,45,0,53
United Republic of Tanzania,19,0,19,0,16
Italy,74,1,74,0,42
Pakistan,168,5,33,11,168
Nicaragua,37,1,26,0,37
Sri Lanka,56,1,24,1,56
Russian Federation,54,1,39,0,54
Bulgaria,56,1,48,0,56
Mexico,72,1,33,0,72
Germany,56,1,48,0,56
Mexico,50,1,19,1,50
,88,1,88,1,14
France,74,1,44,1,74
Brazil,65,1,21,2,65
Ethiopia,51,1,17,0,51
Russian Federation,29,1,29,0,9
France,42,1,42,0,22
Argentina,54,1,23,4,54
United States of America,43,1,33,1,43
Portugal,41,0,41,1,21
Italy,86,1,58,0,86
Ireland,50,1,42,0,50
India,61,1,13,4,61
India,50,0,25,0,50
Brazil,30,0,14,0,30
Guatemala,53,1,10,1,53
Germany,29,0,29,1,28
Kazakhstan,35,1,35,0,34
United States of America,47,1,17,8,47
Romania,68,1,44,0,68
Belgium,35,1,23,4,35
Brazil,62,1,10,2,62
,56,1,56,0,38
Jordan,75,1,45,2,75
China,66,2,52,0,66
Japan,39,1,39,0,29
India,153,3,89,2,153
Hungary,67,1,31,1,67
,28,0,27,0,28
Brazil,44,1,12,2,44
Italy,57,1,38,3,57
,193,4,193,4,124
United States of America,121,4,11,36,121
Switzerland,41,1,27,2,41
France,72,2,20,6,72
Afghanistan,83,0,40,0,83
Germany,54,1,37,4,54
Viet Nam,61,3,33,0,61
India,62,0,22,0,62
Czechia,76,1,39,2,76
Germany,67,1,38,3,67
Spain,28,1,27,2,28
Germany,55,1,46,1,55
Spain,38,1,38,0,19
Colombia,43,1,5,1,43
Japan,51,1,29,6,51
Romania,53,1,43,0,53
India,155,2,49,1,155
United Kingdom of Great Britain and Northern Ireland,43,1,38,0,43
Serbia,65,1,65,0,58
Libya,136,1,44,0,136
Niger,88,1,40,0,88
Russian Federation,38,1,38,0,14
Japan,70,1,24,15,70
United States of America,46,1,28,5,46
Mexico,69,1,29,1,69
Mexico,47,1,20,1,47
Russian Federation,500,21,8,17,475
Brazil,34,0,19,0,34
Russian Federation,56,1,42,0,56
Estonia,35,1,35,0,17
India,99,2,39,3,99
Sweden,39,1,39,0,11
France,72,1,44,2,72
United States of America,64,2,27,10,64
Albania,76,1,40,2,76
Estonia,35,1,35,0,19
Poland,49,1,31,2,49
United Republic of Tanzania,33,1,25,0,33
Uzbekistan,65,1,34,4,65
United States of America,54,1,39,1,54
India,77,1,28,2,77
France,41,1,41,0,18
China,76,2,36,1,76
France,68,1,46,1,68
Russian Federation,44,1,44,0,25
Cameroon,42,1,21,0,42
China,165,6,83,17,165
China,169,7,9,31,169
Philippines,90,2,25,9,90
Brazil,19,0,12,1,19
Indonesia,197,4,197,3,155
Indonesia,54,1,32,0,54
Thailand,84,2,24,3,84
Uzbekistan,138,1,25,8,138
India,121,3,5,8,121
Greece,70,1,45,6,70
Indonesia,50,1,7,1,50
India,101,1,38,0,101
India,171,4,154,1,171
Malaysia,66,1,33,0,66
Hungary,57,1,42,1,57
United States of America,63,2,33,9,63
Italy,71,1,71,0,43
France,72,1,44,1,72
Italy,63,1,63,0,21
Jordan,68,1,68,0,56
India,164,2,47,5,164
India,157,4,32,14,157
Germany,64,1,59,0,64
United States of America,57,1,34,1,57
Brazil,23,1,7,1,23
Malaysia,65,2,30,0,65
Lebanon,80,2,44,4,80
United States of America,79,3,19,18,79
Austria,67,1,25,4,67
France,55,1,30,2,55
Brazil,29,0,12,1,29
Thailand,52,0,22,1,52
Saint Kitts and Nevis,90,1,25,0,90
Netherlands,30,1,30,2,28
Haiti,77,2,16,5,77
Brazil,72,2,11,5,72
India,80,1,24,1,80
Brazil,166,6,1,18,166
France,150,1,32,2,150
Brazil,42,1,17,0,42
Paraguay,22,1,9,0,22
Paraguay,19,1,12,0,19
Chile,65,2,7,9,65
Brazil,30,1,10,0,30
India,50,0,29,0,50
,81,1,46,0,81
Egypt,153,1,53,1,153
Romania,55,1,43,0,55
Spain,17,1,17,2,13
Belgium,48,1,36,3,48
India,175,4,175,2,169
Japan,57,1,50,1,57
United States of America,63,1,29,4,63
India,153,3,68,1,153
United States of America,68,2,16,23,68
Malaysia,75,2,42,2,75
Malaysia,61,1,43,0,61
Brazil,29,0,11,1,29
United States of America,37,1,30,9,37
Poland,70,1,38,1,70
Mozambique,45,2,16,0,45
United States of America,67,2,17,18,67
Italy,58,1,44,2,58
Indonesia,67,2,25,1,67
United Kingdom of Great Britain and Northern Ireland,46,1,27,4,46
Portugal,36,1,36,1,20
Germany,62,1,34,2,62
Austria,76,1,35,1,76
Russian Federation,34,1,34,0,26
Belarus,31,1,31,0,14
Italy,59,2,30,7,59
Slovenia,74,2,32,5,74
Romania,61,1,41,0,61
United States of America,77,3,1,10,77
Peru,32,0,22,0,32
Thailand,70,1,24,1,70
Sweden,31,1,31,0,26
Albania,44,1,44,0,39
United States of America,51,1,18,10,51
Mexico,194,5,6,26,194
Japan,32,0,32,1,26
France,71,2,27,7,71
Russian Federation,32,1,32,0,21
Mexico,35,1,19,1,35
Germany,34,1,34,2,25
Philippines,71,1,24,1,71
Brazil,29,1,5,2,29
Germany,29,0,29,2,28
China,153,3,153,2,90
Japan,42,1,42,2,36
Netherlands,39,1,29,4,39
Netherlands,31,1,30,3,31
Germany,38,1,38,0,33
United States of America,59,2,22,9,59
India,50,1,17,3,50
Netherlands,37,1,37,1,30
United States of America,68,2,31,5,68
Brazil,68,1,21,1,68
,39,0,27,0,39
India,179,3,29,20,179
Ethiopia,108,1,33,0,108
United States of America,34,1,34,1,28
Germany,56,1,45,1,56
Indonesia,207,12,3,31,207
Germany,62,1,52,0,62
Mexico,52,1,30,0,52
United States of America,54,1,28,6,54
Japan,52,2,23,9,52
Colombia,65,1,27,2,65
Italy,71,1,71,0,56
United States of America,46,1,39,1,46
,37,1,29,1,37
Viet Nam,173,8,25,18,173
Mexico,197,4,27,10,197
United Kingdom of Great Britain and Northern Ireland,34,0,34,0,26
,36,1,30,1,36
Czechia,79,1,46,0,79
Venezuela (Bolivarian Republic of),86,1,39,2,86
Philippines,119,2,26,6,119
Romania,46,1,46,0,39
Poland,42,1,42,0,19
United Kingdom of Great Britain and Northern Ireland,33,1,30,1,33
Japan,83,2,21,17,83
Brazil,66,1,24,1,66
United States of America,36,1,25,2,36
India,160,3,40,5,160
Spain,40,1,40,0,18
Brazil,44,1,18,1,44
Brazil,21,0,21,0,13
Philippines,102,1,25,3,102
Colombia,49,1,17,0,49
United States of America,46,1,46,1,39
United States of America,95,1,95,1,17
India,154,2,47,1,154
United States of America,30,0,24,1,30
India,171,3,51,3,171
United States of America,35,1,35,1,28
United States of America,35,1,35,1,31
India,67,2,6,3,67
Ecuador,56,1,23,0,56
Zimbabwe,26,0,24,0,26
Canada,38,1,38,1,23
China,88,5,18,9,88
Germany,67,1,62,0,67
Poland,65,1,46,0,65
France,49,1,38,1,49
Qatar,164,1,164,2,144
Ethiopia,59,1,24,0,59
Germany,55,1,44,0,55
Turkmenistan,110,1,38,1,110
United Kingdom of Great Britain and Northern Ireland,43,1,40,0,43
Russian Federation,31,1,18,1,31
